age;gender;-3;-2;-1;0;1;2;3
25;L;8.8;9.8;11.0;12.4;13.9;15.5;17.5
26;L;8.9;10.0;11.2;12.5;14.1;15.8;17.8
27;L;9.0;10.1;11.3;12.7;14.3;16.1;18.1
28;L;9.1;10.2;11.5;12.9;14.5;16.3;18.4
29;L;9.2;10.4;11.7;13.1;14.8;16.6;18.7
30;L;9.4;10.5;11.8;13.3;15.0;16.9;19.0
31;L;9.5;10.7;12.0;13.5;15.2;17.1;19.3
32;L;9.6;10.8;12.1;13.7;15.4;17.4;19.6
33;L;9.7;10.9;12.3;13.8;15.6;17.6;19.9
34;L;9.8;11.0;12.4;14.0;15.8;17.8;20.2
35;L;9.9;11.2;12.6;14.2;16.0;18.1;20.4
36;L;10.0;11.3;12.7;14.3;16.2;18.3;20.7
37;L;10.1;11.4;12.9;14.5;16.4;18.6;21.0
38;L;10.2;11.5;13.0;14.7;16.6;18.8;21.3
39;L;10.3;11.6;13.1;14.8;16.8;19.0;21.6
40;L;10.4;11.8;13.3;15.0;17.0;19.3;21.9
41;L;10.5;11.9;13.4;15.2;17.2;19.5;22.1
42;L;10.6;12.0;13.6;15.3;17.4;19.7;22.4
43;L;10.7;12.1;13.7;15.5;17.6;20.0;22.7
44;L;10.8;12.2;13.8;15.7;17.8;20.2;23.0
45;L;10.9;12.4;14.0;15.8;18.0;20.5;23.3
46;L;11.0;12.5;14.1;16.0;18.2;20.7;23.6
47;L;11.1;12.6;14.3;16.2;18.4;20.9;23.9
48;L;11.2;12.7;14.4;16.3;18.6;21.2;24.2
49;L;11.3;12.8;14.5;16.5;18.8;21.4;24.5
50;L;11.4;12.9;14.7;16.7;19.0;21.7;24.8
51;L;11.5;13.1;14.8;16.8;19.2;21.9;25.1
52;L;11.6;13.2;15.0;17.0;19.4;22.2;25.4
53;L;11.7;13.3;15.1;17.2;19.6;22.4;25.7
54;L;11.8;13.4;15.2;17.3;19.8;22.7;26.0
55;L;11.9;13.5;15.4;17.5;20.0;22.9;26.3
56;L;12.0;13.6;15.5;17.7;20.2;23.3;26.6
57;L;12.1;13.7;15.6;17.8;20.4;23.4;26.9
58;L;12.2;13.8;15.8;18.0;20.6;23.7;27.2
59;L;12.3;14.0;15.9;18.2;20.8;23.9;27.6
60;L;12.4;14.1;16.0;18.3;21.0;24.2;27.9
